agent,fps_used,clips_analyzed,total_frames,total_detections,total_tracks,jerk_mean,jerk_std,speed_mean_ms,speed_violation_rate,accel_violation_rate,mean_players_per_frame,coverage_rate,mean_track_length,fragmentation_rate
darkmyter,25.0,15,152624,3457412,11745,21521.281292078565,3196.1217483832743,2.5770267599547263,0.018640005545832374,0.8024649150992269,20.86035616940979,0.5524688122444701,286.5197287420983,0.9157206037985195
eagle,24.0,15,114375,2357054,1911,18493.66901715922,1385.040811968195,3.1395836695648853,0.01831783914460194,0.7802007298206095,19.888279781420763,0.6303562841530055,1562.2642699915646,0.576028519469451
yolo11_botsort,25.0,15,152624,2694578,186684,8975.74839185089,2173.6413089517596,2.1268492808776744,0.010995781861334132,0.704159591446296,17.650382639689695,0.22207516511164693,22.276730447087633,0.9988724581957973
